name,description,images,location,price,propertyType,postedBy,amenities,status,createdBy,createdAt
Apartment 11,Synthetic apartment data 11 in Naga City for testing ML clustering.,['https://example.com/apartment_11.jpg'],"{'address': 'Apartment St. 11, Naga City, Camarines Sur', 'latitude': 13.625399, 'longitude': 123.171485}",9739,apartment,72bc0673-97a5-4af0-9dc3-65e1b306fc9a,['aircon'],For rent,6806daec-2422-48c7-9ef7-64c0b070a4b7,2025-10-04 05:04:08.701345
Apartment 12,Synthetic apartment data 12 in Naga City for testing ML clustering.,['https://example.com/apartment_12.jpg'],"{'address': 'Apartment St. 12, Naga City, Camarines Sur', 'latitude': 13.633219, 'longitude': 123.173494}",6268,apartment,6a9e94ee-beb9-45a2-83a7-ee13fa989867,[],available,de3be28e-3b0e-4116-ae83-dadb67aeaa3d,2025-10-04 05:04:08.701447
Apartment 13,Synthetic apartment data 13 in Naga City for testing ML clustering.,['https://example.com/apartment_13.jpg'],"{'address': 'Apartment St. 13, Naga City, Camarines Sur', 'latitude': 13.631717, 'longitude': 123.198952}",12093,apartment,a4ebe0b0-6704-43c2-97b5-9507993bb2c4,"['security', 'laundry', 'parking']",fully booked,1a1aab65-3e6c-41b8-a4bb-730f165a1f2b,2025-10-04 05:04:08.701533
Apartment 14,Synthetic apartment data 14 in Naga City for testing ML clustering.,['https://example.com/apartment_14.jpg'],"{'address': 'Apartment St. 14, Naga City, Camarines Sur', 'latitude': 13.613252, 'longitude': 123.187548}",3053,apartment,00e919d6-4f10-41df-a452-8a54f1497268,['wifi'],fully booked,0a78f201-20bc-4667-bbfb-22aa99064e33,2025-10-04 05:04:08.701608
Apartment 15,Synthetic apartment data 15 in Naga City for testing ML clustering.,['https://example.com/apartment_15.jpg'],"{'address': 'Apartment St. 15, Naga City, Camarines Sur', 'latitude': 13.622176, 'longitude': 123.17261}",18133,apartment,de1f6e1f-19da-4977-af7b-863e8d42ad30,[],available,62017ee3-ff6d-4b53-b53e-ab810b340e44,2025-10-04 05:04:08.701667
Apartment 16,Synthetic apartment data 16 in Naga City for testing ML clustering.,['https://example.com/apartment_16.jpg'],"{'address': 'Apartment St. 16, Naga City, Camarines Sur', 'latitude': 13.636943, 'longitude': 123.192705}",6700,apartment,bcb34509-50cf-46b1-8dcd-82c61bfb815c,['wifi'],fully booked,938ccddc-47a8-4b85-9f45-2e3d525ec629,2025-10-04 05:04:08.701730
Apartment 17,Synthetic apartment data 17 in Naga City for testing ML clustering.,['https://example.com/apartment_17.jpg'],"{'address': 'Apartment St. 17, Naga City, Camarines Sur', 'latitude': 13.630539, 'longitude': 123.171432}",8290,apartment,ecba1bfa-142a-41ea-9bc4-7205a5b93d21,"['wifi', 'parking']",For sale,ad0f38bd-1922-40ed-98e1-e79e35fd8a94,2025-10-04 05:04:08.701800
Apartment 18,Synthetic apartment data 18 in Naga City for testing ML clustering.,['https://example.com/apartment_18.jpg'],"{'address': 'Apartment St. 18, Naga City, Camarines Sur', 'latitude': 13.61664, 'longitude': 123.194676}",12959,apartment,1ee01798-5400-40a2-9574-04df608f3ad8,[],fully booked,d744ea49-bd8c-44f7-98f5-3816b5726ed6,2025-10-04 05:04:08.701857
Apartment 19,Synthetic apartment data 19 in Naga City for testing ML clustering.,['https://example.com/apartment_19.jpg'],"{'address': 'Apartment St. 19, Naga City, Camarines Sur', 'latitude': 13.606629, 'longitude': 123.206435}",5114,apartment,cc14b077-9802-4037-b6d2-d40b7b783069,['wifi'],For sale,adb7a607-63f7-4913-b55d-f96cc5cbb7a1,2025-10-04 05:04:08.701913
Apartment 20,Synthetic apartment data 20 in Naga City for testing ML clustering.,['https://example.com/apartment_20.jpg'],"{'address': 'Apartment St. 20, Naga City, Camarines Sur', 'latitude': 13.600079, 'longitude': 123.188547}",17256,apartment,1dc1aaf7-6df8-4340-af95-4171e7eb9a5f,['security'],fully booked,3ce15a9e-f4d5-4e10-9276-987dc614428c,2025-10-04 05:04:08.701969
Apartment 21,Synthetic apartment data 21 in Naga City for testing ML clustering.,['https://example.com/apartment_21.jpg'],"{'address': 'Apartment St. 21, Naga City, Camarines Sur', 'latitude': 13.634171, 'longitude': 123.204212}",3653,apartment,6237e582-436a-4a06-ae37-c52564a5d908,"['laundry', 'aircon']",For rent,b37bcf98-1a02-46db-8f9c-30113c2e3957,2025-10-04 05:04:08.702030
Apartment 22,Synthetic apartment data 22 in Naga City for testing ML clustering.,['https://example.com/apartment_22.jpg'],"{'address': 'Apartment St. 22, Naga City, Camarines Sur', 'latitude': 13.633055, 'longitude': 123.184915}",16193,apartment,0e03502f-d795-46ba-b4af-7154585fe184,"['balcony', 'laundry', 'security']",For sale,9d1dc9fb-9edb-4f2a-b06a-377ba6390d94,2025-10-04 05:04:08.702086
Apartment 23,Synthetic apartment data 23 in Naga City for testing ML clustering.,['https://example.com/apartment_23.jpg'],"{'address': 'Apartment St. 23, Naga City, Camarines Sur', 'latitude': 13.604289, 'longitude': 123.171365}",18186,apartment,5c2003ff-f517-40ba-a7d5-56c01291b35f,"['security', 'parking']",fully booked,d0ad22e8-8760-41c0-8cdc-2d2cd35bcf14,2025-10-04 05:04:08.702142
Apartment 24,Synthetic apartment data 24 in Naga City for testing ML clustering.,['https://example.com/apartment_24.jpg'],"{'address': 'Apartment St. 24, Naga City, Camarines Sur', 'latitude': 13.633661, 'longitude': 123.188621}",7231,apartment,15123be8-11f6-4d9e-949f-a898375f55fc,[],available,0a61403d-5c5c-45ea-a9b3-fe9ac1f2619d,2025-10-04 05:04:08.702202
Apartment 25,Synthetic apartment data 25 in Naga City for testing ML clustering.,['https://example.com/apartment_25.jpg'],"{'address': 'Apartment St. 25, Naga City, Camarines Sur', 'latitude': 13.606541, 'longitude': 123.206183}",16213,apartment,c096639f-2f43-4405-aeb9-3b516d889d25,[],available,b1676ba4-b60e-4b68-a7d7-bae008cc2fe9,2025-10-04 05:04:08.702258
Apartment 26,Synthetic apartment data 26 in Naga City for testing ML clustering.,['https://example.com/apartment_26.jpg'],"{'address': 'Apartment St. 26, Naga City, Camarines Sur', 'latitude': 13.630735, 'longitude': 123.193511}",18360,apartment,c79c81cb-6437-472c-9d2a-374a24400b88,[],available,6a43af59-5ba3-4e7b-85cf-15c51a5dabd7,2025-10-04 05:04:08.702330
Apartment 27,Synthetic apartment data 27 in Naga City for testing ML clustering.,['https://example.com/apartment_27.jpg'],"{'address': 'Apartment St. 27, Naga City, Camarines Sur', 'latitude': 13.62303, 'longitude': 123.17956}",19764,apartment,0bdfee98-9ae9-4f0d-adf2-47896c146805,['balcony'],available,d8d19bf9-e12e-4dde-8eee-509b97244216,2025-10-04 05:04:08.702398
Apartment 28,Synthetic apartment data 28 in Naga City for testing ML clustering.,['https://example.com/apartment_28.jpg'],"{'address': 'Apartment St. 28, Naga City, Camarines Sur', 'latitude': 13.606486, 'longitude': 123.192289}",6946,apartment,33eda0fe-907c-4fda-8c4a-927ff59afa0e,[],available,cc7dd68a-3b56-490d-9403-e97bc630b414,2025-10-04 05:04:08.702474
Apartment 29,Synthetic apartment data 29 in Naga City for testing ML clustering.,['https://example.com/apartment_29.jpg'],"{'address': 'Apartment St. 29, Naga City, Camarines Sur', 'latitude': 13.600957, 'longitude': 123.20205}",10000,apartment,be3f2e6a-8370-4023-9271-f9a3179019d8,"['balcony', 'laundry', 'wifi']",available,8bdb026b-58c6-4df6-aa6b-f43a5ea6602a,2025-10-04 05:04:08.702536
Apartment 30,Synthetic apartment data 30 in Naga City for testing ML clustering.,['https://example.com/apartment_30.jpg'],"{'address': 'Apartment St. 30, Naga City, Camarines Sur', 'latitude': 13.610543, 'longitude': 123.20829}",17364,apartment,cdff6902-01a6-485b-97c0-9d2fb1ccf5a6,"['wifi', 'aircon']",fully booked,af1bc4fb-b7ce-49ed-8132-62069ace2cb0,2025-10-04 05:04:08.702592
Apartment 31,Synthetic apartment data 31 in Naga City for testing ML clustering.,['https://example.com/apartment_31.jpg'],"{'address': 'Apartment St. 31, Naga City, Camarines Sur', 'latitude': 13.618051, 'longitude': 123.208204}",19886,apartment,276d7f89-0dae-4b4d-a389-8cc98590f242,['wifi'],fully booked,c64bf9f1-7b97-422b-aa10-c41017e7c01b,2025-10-04 05:04:08.702654
Apartment 32,Synthetic apartment data 32 in Naga City for testing ML clustering.,['https://example.com/apartment_32.jpg'],"{'address': 'Apartment St. 32, Naga City, Camarines Sur', 'latitude': 13.622892, 'longitude': 123.196717}",18902,apartment,c52212f6-6838-46bc-86a2-f837193aaae9,"['security', 'laundry', 'wifi']",For rent,95f64f6b-04b2-48c6-945d-2df88d41e8ee,2025-10-04 05:04:08.702710
Apartment 33,Synthetic apartment data 33 in Naga City for testing ML clustering.,['https://example.com/apartment_33.jpg'],"{'address': 'Apartment St. 33, Naga City, Camarines Sur', 'latitude': 13.619251, 'longitude': 123.180742}",6014,apartment,208db9d2-7adb-4956-9565-0f86dfce9e29,['balcony'],For sale,ec3f8017-ee29-484d-9ebb-a1135f0aad62,2025-10-04 05:04:08.702817
Apartment 34,Synthetic apartment data 34 in Naga City for testing ML clustering.,['https://example.com/apartment_34.jpg'],"{'address': 'Apartment St. 34, Naga City, Camarines Sur', 'latitude': 13.628613, 'longitude': 123.208982}",14499,apartment,08ca2803-0c63-4f5c-8b9a-167e44150c07,"['aircon', 'balcony', 'laundry']",For sale,23f8164b-375d-4c63-8a60-eb667a1d2b6f,2025-10-04 05:04:08.702881
Apartment 35,Synthetic apartment data 35 in Naga City for testing ML clustering.,['https://example.com/apartment_35.jpg'],"{'address': 'Apartment St. 35, Naga City, Camarines Sur', 'latitude': 13.630408, 'longitude': 123.209068}",12103,apartment,330f81ba-f15d-49c7-b40b-6c070740bdc9,['laundry'],available,a1ff5da0-dd29-44c9-a650-e3cd36d39f5f,2025-10-04 05:04:08.702937
Apartment 36,Synthetic apartment data 36 in Naga City for testing ML clustering.,['https://example.com/apartment_36.jpg'],"{'address': 'Apartment St. 36, Naga City, Camarines Sur', 'latitude': 13.639159, 'longitude': 123.186531}",11834,apartment,3b781bdd-6fc2-4169-a3ec-de57a32d5372,"['parking', 'wifi']",For sale,ca2637b6-c7f8-4e8d-a13c-3e8ad63ef0b3,2025-10-04 05:04:08.702992
Apartment 37,Synthetic apartment data 37 in Naga City for testing ML clustering.,['https://example.com/apartment_37.jpg'],"{'address': 'Apartment St. 37, Naga City, Camarines Sur', 'latitude': 13.628866, 'longitude': 123.199781}",8120,apartment,e23c1952-6370-4ddd-b9dc-871b1a179636,"['security', 'aircon', 'parking']",For rent,bf247b7f-15ce-4f24-8a58-5c50b4b43c3d,2025-10-04 05:04:08.703052
Apartment 38,Synthetic apartment data 38 in Naga City for testing ML clustering.,['https://example.com/apartment_38.jpg'],"{'address': 'Apartment St. 38, Naga City, Camarines Sur', 'latitude': 13.633054, 'longitude': 123.200015}",4778,apartment,d7b103e6-a01a-4e12-8bd8-ac1f6d96246f,"['security', 'aircon', 'laundry']",available,2015cea2-1cb7-43f9-9f99-c970880b5252,2025-10-04 05:04:08.703110
Apartment 39,Synthetic apartment data 39 in Naga City for testing ML clustering.,['https://example.com/apartment_39.jpg'],"{'address': 'Apartment St. 39, Naga City, Camarines Sur', 'latitude': 13.623315, 'longitude': 123.180163}",15528,apartment,710df6fa-6cd8-43ee-a5c1-1c238cba366a,['aircon'],For rent,a11d385d-35fd-4332-bdd9-eb6d0af2e188,2025-10-04 05:04:08.703170
Apartment 40,Synthetic apartment data 40 in Naga City for testing ML clustering.,['https://example.com/apartment_40.jpg'],"{'address': 'Apartment St. 40, Naga City, Camarines Sur', 'latitude': 13.62234, 'longitude': 123.187171}",14766,apartment,22ee8c70-78a4-48ea-92e2-aa2ca42f7afa,['aircon'],For rent,5e378e79-ceb8-4776-bf38-210bb88ceaa1,2025-10-04 05:04:08.703226
Apartment 41,Synthetic apartment data 41 in Naga City for testing ML clustering.,['https://example.com/apartment_41.jpg'],"{'address': 'Apartment St. 41, Naga City, Camarines Sur', 'latitude': 13.614826, 'longitude': 123.201937}",8611,apartment,6ee95c89-d9d3-4d81-a1ea-31d2f77d316d,"['aircon', 'laundry', 'wifi']",fully booked,28470e82-50e8-4412-b41f-7db32bfa4f8b,2025-10-04 05:04:08.703286
Apartment 42,Synthetic apartment data 42 in Naga City for testing ML clustering.,['https://example.com/apartment_42.jpg'],"{'address': 'Apartment St. 42, Naga City, Camarines Sur', 'latitude': 13.600388, 'longitude': 123.197661}",12074,apartment,c343890a-8255-4091-96e0-d293cdf650f9,"['parking', 'aircon']",fully booked,8ea3fc9a-42fa-471f-893b-81da3c74b0e2,2025-10-04 05:04:08.703342
Apartment 43,Synthetic apartment data 43 in Naga City for testing ML clustering.,['https://example.com/apartment_43.jpg'],"{'address': 'Apartment St. 43, Naga City, Camarines Sur', 'latitude': 13.634232, 'longitude': 123.189819}",2676,apartment,9917dcc2-591f-428d-ab87-58e6c64adc6b,"['security', 'laundry']",For rent,0b768634-e8d8-4670-8f28-fffce9d43a44,2025-10-04 05:04:08.703399
Apartment 44,Synthetic apartment data 44 in Naga City for testing ML clustering.,['https://example.com/apartment_44.jpg'],"{'address': 'Apartment St. 44, Naga City, Camarines Sur', 'latitude': 13.6281, 'longitude': 123.192605}",15530,apartment,c9c20346-773f-475d-923a-23c231f0b454,[],fully booked,f0bebcc8-c778-4ca4-9817-c88bc133db51,2025-10-04 05:04:08.703454
Apartment 45,Synthetic apartment data 45 in Naga City for testing ML clustering.,['https://example.com/apartment_45.jpg'],"{'address': 'Apartment St. 45, Naga City, Camarines Sur', 'latitude': 13.634927, 'longitude': 123.182844}",15766,apartment,a67ea0df-213a-4d96-8baa-81c702f078f9,"['wifi', 'balcony', 'parking']",For rent,f23f365f-2f15-49e7-ac65-b78fd5a02340,2025-10-04 05:04:08.703509
Apartment 46,Synthetic apartment data 46 in Naga City for testing ML clustering.,['https://example.com/apartment_46.jpg'],"{'address': 'Apartment St. 46, Naga City, Camarines Sur', 'latitude': 13.620313, 'longitude': 123.173473}",12556,apartment,6b1343aa-35af-42c4-8419-6e0df7e5756c,"['parking', 'balcony', 'security']",For rent,a8301208-cd3c-4008-983c-3e9190d9159f,2025-10-04 05:04:08.703565
Apartment 47,Synthetic apartment data 47 in Naga City for testing ML clustering.,['https://example.com/apartment_47.jpg'],"{'address': 'Apartment St. 47, Naga City, Camarines Sur', 'latitude': 13.618142, 'longitude': 123.196751}",15973,apartment,a1028bcc-c8f7-4f4b-95ac-43f6a07fc4d6,"['balcony', 'laundry', 'security']",fully booked,1423dc9c-a7a0-4509-9201-d37cf085499b,2025-10-04 05:04:08.703676
Apartment 48,Synthetic apartment data 48 in Naga City for testing ML clustering.,['https://example.com/apartment_48.jpg'],"{'address': 'Apartment St. 48, Naga City, Camarines Sur', 'latitude': 13.626009, 'longitude': 123.192318}",10025,apartment,82411281-bd50-44ec-93f5-b158c66f3af4,[],available,f02a6244-8b5f-4fae-a49d-3c5c4f6d76bf,2025-10-04 05:04:08.703746
Apartment 49,Synthetic apartment data 49 in Naga City for testing ML clustering.,['https://example.com/apartment_49.jpg'],"{'address': 'Apartment St. 49, Naga City, Camarines Sur', 'latitude': 13.606925, 'longitude': 123.17883}",4982,apartment,f9db8cba-b452-4591-a299-c4df3f6a39d2,"['parking', 'aircon', 'security']",For rent,1c9bf7a9-788a-4986-953a-4fdd63b6194e,2025-10-04 05:04:08.703813
Apartment 50,Synthetic apartment data 50 in Naga City for testing ML clustering.,['https://example.com/apartment_50.jpg'],"{'address': 'Apartment St. 50, Naga City, Camarines Sur', 'latitude': 13.609078, 'longitude': 123.17078}",8823,apartment,38d8677b-f247-4738-8aed-ed3db96e82c4,"['balcony', 'laundry', 'aircon']",For rent,67e47f29-061a-4bf2-9ae4-c432a5312605,2025-10-04 05:04:08.703876
Apartment 51,Synthetic apartment data 51 in Naga City for testing ML clustering.,['https://example.com/apartment_51.jpg'],"{'address': 'Apartment St. 51, Naga City, Camarines Sur', 'latitude': 13.616736, 'longitude': 123.207386}",18587,apartment,5cf7615d-d3a8-437c-983a-1b29e3be4cec,"['aircon', 'wifi', 'parking']",For sale,a7d31620-5f29-42e2-8a1b-d89cef11c336,2025-10-04 05:04:08.703939
Apartment 52,Synthetic apartment data 52 in Naga City for testing ML clustering.,['https://example.com/apartment_52.jpg'],"{'address': 'Apartment St. 52, Naga City, Camarines Sur', 'latitude': 13.639753, 'longitude': 123.18935}",8454,apartment,64a63238-8b7e-4645-8f5c-d369f6f35e8e,['laundry'],For rent,10fd99ac-18b9-4446-a6a1-f62af94990f4,2025-10-04 05:04:08.703995
Apartment 53,Synthetic apartment data 53 in Naga City for testing ML clustering.,['https://example.com/apartment_53.jpg'],"{'address': 'Apartment St. 53, Naga City, Camarines Sur', 'latitude': 13.639251, 'longitude': 123.173361}",14022,apartment,ddfc2bbe-67df-4ec0-a24e-f175e6f32b04,"['parking', 'wifi']",For rent,2c20b47e-f0ed-450e-a335-700017815c82,2025-10-04 05:04:08.704056
Apartment 54,Synthetic apartment data 54 in Naga City for testing ML clustering.,['https://example.com/apartment_54.jpg'],"{'address': 'Apartment St. 54, Naga City, Camarines Sur', 'latitude': 13.606158, 'longitude': 123.173329}",16489,apartment,26b4b31e-83e8-46d6-95a3-ed99fbd0c79d,[],available,e02555e6-1094-4aaf-aee8-067177c74a02,2025-10-04 05:04:08.704116
Apartment 55,Synthetic apartment data 55 in Naga City for testing ML clustering.,['https://example.com/apartment_55.jpg'],"{'address': 'Apartment St. 55, Naga City, Camarines Sur', 'latitude': 13.613153, 'longitude': 123.187791}",10965,apartment,db9ea1eb-fd7b-40bb-9eb8-12ec28c25b92,[],fully booked,1a895757-dc07-4714-bb6d-dce55860f2ca,2025-10-04 05:04:08.704172
Apartment 56,Synthetic apartment data 56 in Naga City for testing ML clustering.,['https://example.com/apartment_56.jpg'],"{'address': 'Apartment St. 56, Naga City, Camarines Sur', 'latitude': 13.62898, 'longitude': 123.20982}",7646,apartment,443f7657-0d2d-4d9b-b3dc-5ebf3d550e84,['balcony'],For rent,654f3bc2-0ebe-430c-b5b2-8e874c1e5560,2025-10-04 05:04:08.704227
Apartment 57,Synthetic apartment data 57 in Naga City for testing ML clustering.,['https://example.com/apartment_57.jpg'],"{'address': 'Apartment St. 57, Naga City, Camarines Sur', 'latitude': 13.60086, 'longitude': 123.196274}",5187,apartment,06c63fcb-f982-4d0e-994d-96254d2b67fd,['security'],available,32aae4fe-31a7-45b9-83b6-4a185170ba51,2025-10-04 05:04:08.704282
Apartment 58,Synthetic apartment data 58 in Naga City for testing ML clustering.,['https://example.com/apartment_58.jpg'],"{'address': 'Apartment St. 58, Naga City, Camarines Sur', 'latitude': 13.607033, 'longitude': 123.184469}",8095,apartment,353ab07c-9952-46ad-996d-4e57fa8026dd,[],fully booked,61a080c0-9e0c-4c82-9622-3f3052d5f013,2025-10-04 05:04:08.704340
Apartment 59,Synthetic apartment data 59 in Naga City for testing ML clustering.,['https://example.com/apartment_59.jpg'],"{'address': 'Apartment St. 59, Naga City, Camarines Sur', 'latitude': 13.613056, 'longitude': 123.203403}",1382,apartment,81394d16-3114-4451-a25f-78081c82b27a,['aircon'],fully booked,c691f9c3-abc9-4bd2-822f-a7db216ca47d,2025-10-04 05:04:08.704400
Apartment 60,Synthetic apartment data 60 in Naga City for testing ML clustering.,['https://example.com/apartment_60.jpg'],"{'address': 'Apartment St. 60, Naga City, Camarines Sur', 'latitude': 13.637982, 'longitude': 123.174469}",5491,apartment,b5deeccf-28a8-4c14-adea-05f64c62f5e1,"['parking', 'aircon', 'wifi']",For rent,b0c6b19b-029c-4b02-911c-605d1ecd3448,2025-10-04 05:04:08.704459
Apartment 61,Synthetic apartment data 61 in Naga City for testing ML clustering.,['https://example.com/apartment_61.jpg'],"{'address': 'Apartment St. 61, Naga City, Camarines Sur', 'latitude': 13.60996, 'longitude': 123.182659}",8269,apartment,c39f856c-e1d8-42a8-8187-09dca8a1de65,[],fully booked,8ec7f5e1-e4a5-475a-8687-f1a7862b9068,2025-10-04 05:04:08.704518
Apartment 62,Synthetic apartment data 62 in Naga City for testing ML clustering.,['https://example.com/apartment_62.jpg'],"{'address': 'Apartment St. 62, Naga City, Camarines Sur', 'latitude': 13.602903, 'longitude': 123.189778}",3431,apartment,143efc08-cd6d-44ab-a884-a705c38c9a59,"['balcony', 'aircon', 'laundry']",For sale,44a2ed01-3c85-49d3-993e-599055d31d3b,2025-10-04 05:04:08.704578
Apartment 63,Synthetic apartment data 63 in Naga City for testing ML clustering.,['https://example.com/apartment_63.jpg'],"{'address': 'Apartment St. 63, Naga City, Camarines Sur', 'latitude': 13.633435, 'longitude': 123.207536}",4679,apartment,cb21f848-3d84-4047-a34c-d9fd836277cb,['laundry'],For rent,0f1ae999-5ef4-4189-b9e5-4b2a3a2088d7,2025-10-04 05:04:08.704640
Apartment 64,Synthetic apartment data 64 in Naga City for testing ML clustering.,['https://example.com/apartment_64.jpg'],"{'address': 'Apartment St. 64, Naga City, Camarines Sur', 'latitude': 13.618298, 'longitude': 123.173505}",18490,apartment,95a81ece-242c-440f-8c24-d58dc24fd47f,[],For rent,0aec5e6d-e90c-4b29-aebf-4f7e48bdd6d2,2025-10-04 05:04:08.704696
Apartment 65,Synthetic apartment data 65 in Naga City for testing ML clustering.,['https://example.com/apartment_65.jpg'],"{'address': 'Apartment St. 65, Naga City, Camarines Sur', 'latitude': 13.610455, 'longitude': 123.19051}",16748,apartment,eb6ed472-f8d4-470c-9946-ae551acadf8a,[],available,49f58256-0c7c-4190-aa0c-1e5b1fb20001,2025-10-04 05:04:08.704752
Apartment 66,Synthetic apartment data 66 in Naga City for testing ML clustering.,['https://example.com/apartment_66.jpg'],"{'address': 'Apartment St. 66, Naga City, Camarines Sur', 'latitude': 13.618549, 'longitude': 123.176172}",8060,apartment,8f44b7cf-ff17-4c26-a620-9afc3949ba2e,"['balcony', 'wifi']",fully booked,4757d34b-d5df-4e6f-9b59-c125c8d7ce23,2025-10-04 05:04:08.704810
Apartment 67,Synthetic apartment data 67 in Naga City for testing ML clustering.,['https://example.com/apartment_67.jpg'],"{'address': 'Apartment St. 67, Naga City, Camarines Sur', 'latitude': 13.603764, 'longitude': 123.1778}",6596,apartment,45459d36-51a5-4724-8cc2-812c8ff33dde,['security'],fully booked,593fbb36-16c5-45a4-8d3c-b79c5e43dd0b,2025-10-04 05:04:08.704870
Apartment 68,Synthetic apartment data 68 in Naga City for testing ML clustering.,['https://example.com/apartment_68.jpg'],"{'address': 'Apartment St. 68, Naga City, Camarines Sur', 'latitude': 13.602552, 'longitude': 123.193762}",1495,apartment,29fde3e2-1694-404f-a7e3-7d91c06cf167,['security'],available,f6e58345-9eef-490b-9fe0-31f7ef3ad553,2025-10-04 05:04:08.704927
Apartment 69,Synthetic apartment data 69 in Naga City for testing ML clustering.,['https://example.com/apartment_69.jpg'],"{'address': 'Apartment St. 69, Naga City, Camarines Sur', 'latitude': 13.602778, 'longitude': 123.189564}",11083,apartment,0a716efc-9a32-46b7-b405-a5081e86c3c3,[],available,ae3ce4dd-81d7-4ebe-9c91-c9a51b5bcfa1,2025-10-04 05:04:08.704982
Apartment 70,Synthetic apartment data 70 in Naga City for testing ML clustering.,['https://example.com/apartment_70.jpg'],"{'address': 'Apartment St. 70, Naga City, Camarines Sur', 'latitude': 13.629869, 'longitude': 123.191632}",18066,apartment,e9bc9c95-db34-45e3-8e55-317156dcad6a,"['wifi', 'parking']",available,e2bf7dc3-b30c-43ee-8049-048fd01fbf9e,2025-10-04 05:04:08.705037
